clientes;status;genero;compras;regiao;pagto;qtde;pedido;amostras
364;0;0;6;1;1;10;2000;Teste
365;1;0;1;0;1;1;200;Teste
366;0;0;2;0;1;1;300;Teste
367;0;0;1;1;1;1;100;Treino
368;0;0;3;0;1;1;100;Treino
369;0;0;2;0;1;1;300;Treino
370;0;0;1;1;1;1;200;Teste
371;1;0;4;0;1;2;400;Treino
372;0;0;1;0;1;1;400;Teste
373;0;0;2;1;0;1;200;Treino
374;1;0;5;0;1;1;200;Teste
375;0;0;1;1;1;1;300;Treino
376;0;0;1;0;1;1;100;Teste
377;0;1;1;1;1;1;200;Treino
378;1;0;1;0;1;40;10000;Treino
379;0;0;1;0;1;3;1000;Teste
380;1;0;3;1;1;1;200;Teste
381;0;0;2;0;1;1;400;Treino
382;1;0;2;0;1;1;200;Treino
383;1;0;8;0;1;1;500;Treino
384;1;0;8;0;1;1;200;Treino
385;0;0;1;0;1;4;400;Teste
386;0;0;1;1;1;1;300;Teste
387;0;0;1;0;1;1;200;Teste
388;1;0;4;1;1;2;300;Teste
389;1;0;3;0;1;7;2000;Teste
390;0;0;1;0;1;1;400;Treino
391;0;0;1;1;1;1;500;Treino
392;1;0;3;1;1;1;500;Teste
393;1;1;9;1;1;2;500;Teste
394;1;0;2;0;1;1;300;Teste
395;0;0;3;0;1;1;100;Treino
396;0;0;1;0;1;1;500;Teste
397;1;0;1;0;0;1;90;Teste
398;1;0;3;1;1;1;600;Teste
399;1;0;1;0;1;2;200;Teste
400;1;0;1;0;1;1;300;Teste
401;0;0;2;0;1;1;500;Teste
402;0;0;1;1;0;1;200;Treino
403;1;0;1;0;1;1;100;Treino
404;0;0;2;0;1;1;300;Treino
405;0;1;1;1;1;1;200;Teste
406;0;0;1;1;1;1;200;Treino
407;0;0;1;0;1;3;300;Treino
408;0;0;2;0;1;1;300;Treino
409;0;0;3;1;1;1;100;Teste
410;0;0;3;0;1;3;400;Teste
411;0;0;2;0;1;1;100;Teste
412;1;0;3;1;1;1;500;Teste
413;0;0;5;0;1;3;1000;Treino
414;0;0;1;1;1;2;800;Teste
415;0;0;14;0;1;1;200;Teste
416;0;0;14;0;1;2;400;Teste
417;0;0;2;0;1;1;400;Teste
418;0;0;3;1;1;2;700;Treino
419;1;0;2;0;1;2;200;Treino
420;0;0;1;1;1;2;400;Teste
421;0;0;2;0;1;1;200;Treino
422;0;0;4;1;1;1;300;Treino
423;1;0;1;0;1;1;100;Treino
424;0;0;4;1;1;1;200;Treino
425;0;0;1;1;1;1;200;Teste
426;0;0;1;1;1;1;500;Teste
